Word,Meaning
harvest,수확하다
chemical,화학의
figure,"숫자, 모양, 인물"
female,여성의
tie,"묶다, 유대"
fair,공정한
boil,끓이다
respond,반응
borrow,빌리다
deliver,전달
belong,속하다
fold,접다
communicate,"소통하다, 전하다"
include,포함하다
confuse,혼동시키다
earn,"벌다, 얻다"
survive,생존하다
bet,"내 기 하 다, 단 언 하 다"
handsome,잘생긴
calm,"고요한, 침착한"
gentle,정중한
direct,"지 시 하 다, 직 접 적 인"
mad,미친
sweet,달콤한
merry,기쁜
thick,두꺼운
noisy,시끄러운
abstract,추상적인
scientific,과학적인
someday,어느 날
mostly,대게
nowadays,요즘
anywhere,어디서나
captain,"선장, 주장"
population,인구
stranger,낯선 사람
coast,해변
statue,동상
bucket,양동이
spirit,정신
cart,수레
scenery,"배경, 풍경"
cage,우리
gesture,몸짓
screen,"가리다, 차단하다"
pole,기둥
kite,연
rubber,고무
autumn,가을
structure,구조
breeze,산들바람
root,뿌리
mess,"혼란, 엉망"
schedule,일정
litter,더럽히다
tour,관광하다
joke,농담
charge,"충 전 하 다, 부 과 하 다"
hike,걷다
decrease,줄어들다
fear,두려움
review,복습하다
offer,제공
vote,투표하다
remain,여전히 ~이다
attend,참석하다
repair,수리하다
discuss,토론하다
blank,"공허한, 빈칸"
settle,정착하다
final,마지막의
elect,선거하다
public,공공의
achieve,이루다
bend,구부리다
appreciate,"감 사 하 다, 인 정 하 다"
float,"뜨다, 표류하다"
brave,용감한
bark,"짖다, 나무껍질"
cheap,값싼
concentrate,집중하다
classical,고전의
dead,죽은
familiar,친숙한
personal,개인적인
unknown,미지의
historic,역사적인
uncomfortable,불편한
western,서쪽의
simply,단순히
ahead,"앞에, 앞서서"
anyway,어쨌든
exactly,정확히
government,정부
climate,기후
stomach,"위, 위장"
degree,"정도, 학위"
flour,밀가루
article,"기사, 물품"
doll,인형
metal,금속의
cyberspace,우주공간
monster,괴물
strength,"힘, 체력"
treasure,"보 물, 귀 중 히  여 기 다"
will,"~할  것 이 다, 유 언 장"
symbol,상징
development,"발전, 개발"
ceremony,의식
engineering,공학
congratulation,축하
edge,"가장자리, 우세"
breath,호흡
pattern,"모범, 모형, 양식"
death,죽음
alarm,"경보, 경계"
headache,두통
dot,점
muscle,근육
cost,비용
base,"기본, 기초"
focus,"초점, 집중"
lock,잠그다
shock,충격을 주다
dislike,싫어하다
reward,보답
feed,먹이를 주다
impress,인상을 주다
rent,임대하다
replace,교체
suffer,고통을 주다
fail,실패하다
hang,매달다
skip,건너뛰다
wrap,포장하다
necessary,필수적인
pleasant,유쾌한
elementary,"기본의, 초등의"
